PATH_NAME,TYPE,ISGROUP,DRILLTYPE,hasEventID,KEY,TIMERANGE(optional),TEMPLATE_NAME_WITH_FILEPATH
#################LTE_HFA 
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,false,null,false,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,false,null,false,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,false,null,false,null,_15MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,false,null,false,null,_DAY,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,true,null,false,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,true,null,false,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,true,null,false,null,_15MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_HANDOVERSTAGE_ANALYSIS,IMSI,true,null,false,null,_DAY,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_handoverstage_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,false,null,false,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,false,null,false,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,false,null,false,null,_15MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,false,null,false,null,_DAY,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,true,null,false,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,true,null,false,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,true,null,false,null,_15MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_EVENT_SUMMARY_ANALYSIS,null,true,null,false,null,_DAY,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_eventsummary_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,false,null,true,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,false,null,true,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,false,null,true,null,_15MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,false,null,true,null,_DAY,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,true,null,true,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,true,null,true,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,true,null,true,null,_15MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_DETAILED_EVENT_ANALYSIS,null,true,null,true,null,_DAY,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_eventanalysis_raw_group_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_ERAB_DRILLDOWN,null,false,null,true,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_erab_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_ERAB_DRILLDOWN,null,false,null,true,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_erab_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_ERAB_DRILLDOWN,null,false,null,true,null,_15MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_erab_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_ERAB_DRILLDOWN,null,false,null,true,null,_DAY,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_erab_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_ERAB_DRILLDOWN,null,true,null,true,null,_RAW,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_erab_eventanalysis_raw_by_imsi.vm
LTE_HANDOVER_FAILURE_SUBSCRIBER_ERAB_DRILLDOWN,null,true,null,true,null,_1MIN,lte/handoverfailure/eventanalysis/q_lte_handoverfailure_detailed_erab_eventanalysis_raw_by_imsi.vm
